Location,Date,Temperature_F
Texas,6/1/2011,85.2
Texas,7/1/2011,87
Texas,8/1/2011,88.2
Texas,9/1/2011,77.9
Texas,10/1/2011,66.9
Texas,11/1/2011,56.9
Texas,12/1/2011,46.1
Texas,1/1/2012,50.4
Texas,2/1/2012,51.8
Texas,3/1/2012,63.2
Texas,4/1/2012,70.2
Texas,5/1/2012,75.5
Texas,6/1/2012,82.4
Texas,7/1/2012,83.4
Texas,8/1/2012,83.7
Texas,9/1/2012,76.6
Texas,10/1/2012,65.9
Texas,11/1/2012,59
Texas,12/1/2012,51.1
Texas,1/1/2013,47.9
Texas,2/1/2013,51.7
Texas,3/1/2013,57.2
Texas,4/1/2013,63
Texas,5/1/2013,72.5
Texas,6/1/2013,81.8
Texas,7/1/2013,81.3
Texas,8/1/2013,83.3
Texas,9/1/2013,78.2
Texas,10/1/2013,66.7
Texas,11/1/2013,52.9
Texas,12/1/2013,44.8
Texas,1/1/2014,44.5
Texas,2/1/2014,48.4
Texas,3/1/2014,54.8
Texas,4/1/2014,65.4
Texas,5/1/2014,72
Texas,6/1/2014,80.6
Texas,7/1/2014,81.7
Texas,8/1/2014,82.6
Texas,9/1/2014,76.4
Texas,10/1/2014,69.6
Texas,11/1/2014,51.5
Texas,12/1/2014,50.7
Texas,1/1/2015,44
Texas,2/1/2015,48.2
Texas,3/1/2015,56.2
Texas,4/1/2015,66.6
Texas,5/1/2015,71.6
Texas,6/1/2015,79.3
Texas,7/1/2015,83.2
Texas,8/1/2015,83.3
Texas,9/1/2015,79.2
Texas,10/1/2015,69.2
Texas,11/1/2015,57.3
Texas,12/1/2015,51.5
Utah,1/1/2000,31.9
Utah,2/1/2000,36
Utah,3/1/2000,38.8
Utah,4/1/2000,51
Utah,5/1/2000,59.3
Utah,6/1/2000,67.3
Utah,7/1/2000,74
Utah,8/1/2000,73
Utah,9/1/2000,62
Utah,10/1/2000,49.1
Utah,11/1/2000,29.8
Utah,12/1/2000,30.4
Utah,1/1/2001,26.3
Utah,2/1/2001,31.7
Utah,3/1/2001,41.4
Utah,4/1/2001,47
Utah,5/1/2001,59.3
